"episode","PC1","PC2","PC3","rating"
"Episode 23 - The Parking Garage",-0.270139636089047,-0.292584818009638,0.147214566153705,148.5
"Episode 24 - The Cafe",0.170809735503077,-0.0692453055740375,-0.329790696995755,109
"Episode 25 - The Tape",0.00785498742139285,-0.0150506918809802,0.0415545115834646,136.5
"Episode 26 - The Nose Job",0.183939725663401,-0.2968073076747,-0.326964092651428,25
"Episode 27 - The Stranded",0.285117509783209,-0.2151886666992,-0.265178015342509,3.5
"Episode 28 - The Alternate Side",0.39551171225195,-0.144299252675093,-0.239415924557876,72.5
"Episode 29 - The Red Dot",1.65772109976152,-0.484901677946547,0.297206842403767,91
"Episode 30 - The Subway",0.10943461189046,-0.0986407775887698,-0.292386614369904,148.5
"Episode 31 - The Pez Dispenser",0.822103443122752,0.0113895546643893,0.291148680551389,109
"Episode 32 - The Suicide",0.179906925283077,-0.265002084153812,-0.0445993831693062,8.5
"Episode 33 - The Fix-Up",0.00631034728158006,-0.588372692298995,0.0128470276109724,91
"Episode 34 - The Boyfriend (1)",0.466848176599012,-0.450028269330814,0.156917293204827,148.5
"Episode 35 - The Boyfriend (2)",0.212521511120498,-0.26566130514066,-0.110668099691039,136.5
"Episode 36 - The Limo",0.173092647735558,-0.107996693445197,-0.340847626807616,160
"Episode 37 - The Good Samaritan",0.0153342230982997,-0.349941049688547,-0.0595711756335483,25
"Episode 38 - The Letter",0.215478483620801,0.0152589333670472,-0.267566312234826,19.5
"Episode 39 - The Parking Space",0.230222833339642,-0.3122003328922,-0.273994350161133,72.5
"Episode 40 - The Keys",0.379142584351829,-0.335067017890787,-0.559673399426263,109
"Episode 41 - The Trip (1)",-0.815774636097078,-0.0625641066442469,0.387050217873929,54
"Episode 42 - The Trip (2)",0.0394127128080417,-0.284261020666271,-0.0740800753259762,91
"Episode 43 - The Pitch",-0.141370262276649,-0.331108178425648,-0.200945038276289,136.5
"Episode 44 - The Ticket",-0.405737032035893,-0.259146434114045,0.0144166915439972,91
"Episode 45 - The Wallet (1)",0.221593566324873,-0.316346901837297,-0.11805624471929,36
"Episode 46 - The Watch (2)",0.177651642442339,-0.204357323358463,-0.137240617121356,36
"Episode 47 - The Bubble Boy",-0.198749676701987,-0.354361982241361,-0.0637653943034288,148.5
"Episode 48 - The Cheever Letters",0.256765847835494,-0.256734066736513,0.362875393963854,109
